 ,lang,browser,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
performanceMetrics.js:132 ,Rust,"Chromium",15.40,69,68.78,64.00,29155,14.51,13.30,14.80,98.93
performanceMetrics.js:132 ,Rust,"Chromium",15.40,69,68.63,64.00,29225,14.54,13.40,14.90,99.01
performanceMetrics.js:132 ,Rust,"Chromium",15.40,69,68.73,64.00,29294,14.58,13.40,14.90,99.10
performanceMetrics.js:132 ,Rust,"Chromium",15.40,69,69.08,64.00,29363,14.56,13.40,14.90,99.18
performanceMetrics.js:132 ,Rust,"Chromium",15.40,69,68.41,64.00,29432,14.67,13.40,15.00,99.27
performanceMetrics.js:132 ,Rust,"Chromium",15.40,69,68.15,64.00,29501,14.67,13.50,15.10,98.55
performanceMetrics.js:132 ,Rust,"Chromium",15.40,69,67.88,64.00,29570,14.68,13.50,14.90,98.64
performanceMetrics.js:132 ,Rust,"Chromium",15.40,68,67.86,64.00,29638,14.71,13.60,15.00,98.72
performanceMetrics.js:132 ,Rust,"Chromium",15.40,68,67.98,64.00,29706,14.83,13.60,15.60,98.80
performanceMetrics.js:132 ,Rust,"Chromium",15.40,68,67.41,64.00,29774,14.81,13.60,15.20,98.89
performanceMetrics.js:132 ,Rust,"Chromium",15.40,68,67.62,64.00,29842,14.81,13.60,15.10,98.97
performanceMetrics.js:132 ,Rust,"Chromium",15.40,68,67.21,64.00,29910,14.86,13.70,15.70,99.05
performanceMetrics.js:132 ,Rust,"Chromium",15.40,68,66.89,64.00,29978,14.91,13.80,15.20,99.14
performanceMetrics.js:132 ,Rust,"Chromium",15.40,67,66.80,64.00,30045,14.93,13.80,15.20,99.22
performanceMetrics.js:132 ,Rust,"Chromium",15.40,67,66.56,64.00,30112,14.99,13.80,15.70,99.30
performanceMetrics.js:132 ,Rust,"Chromium",15.40,67,66.60,64.00,30179,14.97,13.80,15.50,98.58
performanceMetrics.js:132 ,Rust,"Chromium",15.40,67,66.36,64.00,30246,15.03,13.80,15.30,98.67
performanceMetrics.js:132 ,Rust,"Chromium",15.40,67,65.82,64.00,30313,15.05,13.80,16.00,98.75
performanceMetrics.js:132 ,Rust,"Chromium",15.40,67,66.09,64.00,30380,15.09,13.80,15.30,98.83
performanceMetrics.js:132 ,Rust,"Chromium",15.40,67,66.18,64.00,30446,15.07,13.80,15.30,98.91
performanceMetrics.js:132 ,Rust,"Chromium",15.40,66,65.03,64.00,30513,15.26,14.10,18.10,99.00
performanceMetrics.js:132 ,Rust,"Chromium",15.40,66,64.95,64.00,30579,15.31,14.00,15.70,99.08
performanceMetrics.js:132 ,Rust,"Chromium",15.40,66,65.69,64.00,30645,15.31,14.10,16.40,99.16
performanceMetrics.js:132 ,Rust,"Chromium",15.40,66,65.14,64.00,30711,15.32,14.20,15.70,99.24
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,64.38,64.00,30776,15.41,14.20,16.40,98.52
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,65.16,64.00,30841,15.39,14.20,16.10,98.60
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,64.94,64.00,30906,15.40,14.20,15.70,98.68
performanceMetrics.js:132 ,Rust,"Chromium",15.40,66,65.17,64.00,30972,15.34,14.10,15.60,98.76
performanceMetrics.js:132 ,Rust,"Chromium",15.40,66,65.01,64.00,31038,15.37,14.20,15.60,98.84
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,64.82,64.00,31103,15.45,14.30,15.70,98.92
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,64.60,64.00,31168,15.44,14.30,15.60,99.00
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,64.59,64.00,31233,15.50,15.30,15.80,99.08
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,64.45,64.00,31298,15.49,14.30,15.70,99.16
performanceMetrics.js:132 ,Rust,"Chromium",15.40,65,64.07,64.00,31363,15.56,15.40,15.80,99.24
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.89,64.00,31427,15.63,15.50,15.90,99.31
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.48,64.00,31491,15.70,15.50,16.00,98.59
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.43,64.00,31555,15.77,15.60,16.60,98.67
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.80,64.00,31619,15.71,15.50,15.90,98.75
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.21,64.00,31683,15.71,15.50,16.40,98.82
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.42,64.00,31747,15.79,15.60,16.00,98.90
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.58,64.00,31811,15.80,15.60,16.30,98.98
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.21,64.00,31875,15.80,15.70,16.30,99.06
performanceMetrics.js:132 ,Rust,"Chromium",15.40,64,63.03,64.00,31939,15.86,15.70,16.60,99.14
performanceMetrics.js:132 ,Rust,"Chromium",15.40,63,62.61,64.00,32002,15.88,15.70,16.50,99.21
performanceMetrics.js:132 ,Rust,"Chromium",15.40,63,62.99,64.00,32065,15.92,15.70,16.40,99.29
